Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
2009-03-09,11.055,40,33.333,42.857,37.5,44.444,50,45.455,50,46.154,42.857
2009-03-10,11.789,40,50,42.857,50,44.444,50,54.545,50,53.846,50
2009-03-11,12.328,40,50,57.143,50,55.556,50,54.545,58.333,53.846,57.143
2009-03-12,12.816,60,50,57.143,62.5,55.556,60,54.545,58.333,61.538,57.143
2009-03-13,12.76,60,50,42.857,50,55.556,50,54.545,50,53.846,57.143
2009-03-16,12.692,60,50,42.857,37.5,44.444,50,45.455,50,46.154,50
2009-03-17,13.256,60,66.667,57.143,50,44.444,50,54.545,50,53.846,50
2009-03-18,13.504,60,66.667,71.429,62.5,55.556,50,54.545,58.333,53.846,57.143
2009-03-19,13.517,60,66.667,71.429,75,66.667,60,54.545,58.333,61.538,57.143
2009-03-20,13.513,60,50,57.143,62.5,66.667,60,54.545,50,53.846,57.143
2009-03-23,14.321,80,66.667,57.143,62.5,66.667,70,63.636,58.333,53.846,57.143
2009-03-24,14.166,60,66.667,57.143,50,55.556,60,63.636,58.333,53.846,50
2009-03-25,14.165,40,50,57.143,50,44.444,50,54.545,58.333,53.846,50
2009-03-26,14.615,40,50,57.143,62.5,55.556,50,54.545,58.333,61.538,57.143
2009-03-27,14.213,40,33.333,42.857,50,55.556,50,45.455,50,53.846,57.143
2009-03-30,13.899,20,33.333,28.571,37.5,44.444,50,45.455,41.667,46.154,50
2009-03-31,13.983,40,33.333,42.857,37.5,44.444,50,54.545,50,46.154,50
2009-04-01,14.458,60,50,42.857,50,44.444,50,54.545,58.333,53.846,50
2009-04-02,14.992,60,66.667,57.143,50,55.556,50,54.545,58.333,61.538,57.143
2009-04-03,15.429,80,66.667,71.429,62.5,55.556,60,54.545,58.333,61.538,64.286
2009-04-06,15.756,100,83.333,71.429,75,66.667,60,63.636,58.333,61.538,64.286
2009-04-07,15.297,80,83.333,71.429,62.5,66.667,60,54.545,58.333,53.846,57.143
2009-04-08,15.472,80,83.333,85.714,75,66.667,70,63.636,58.333,61.538,57.143
2009-04-09,15.905,80,83.333,85.714,87.5,77.778,70,72.727,66.667,61.538,64.286
2009-04-13,15.991,80,83.333,85.714,87.5,88.889,80,72.727,75,69.231,64.286
2009-04-14,15.737,60,66.667,71.429,75,77.778,80,72.727,66.667,69.231,64.286
2009-04-15,15.648,60,50,57.143,62.5,66.667,70,72.727,66.667,61.538,64.286
2009-04-16,16.155,60,66.667,57.143,62.5,66.667,70,72.727,75,69.231,64.286
2009-04-17,16.417,60,66.667,71.429,62.5,66.667,70,72.727,75,76.923,71.429
2009-04-20,16.028,40,50,57.143,62.5,55.556,60,63.636,66.667,69.231,71.429
2009-04-21,16.196,60,50,57.143,62.5,66.667,60,63.636,66.667,69.231,71.429
2009-04-22,16.163,60,50,42.857,50,55.556,60,54.545,58.333,61.538,64.286
2009-04-23,16.68,60,66.667,57.143,50,55.556,60,63.636,58.333,61.538,64.286
2009-04-24,16.481,40,50,57.143,50,44.444,50,54.545,58.333,53.846,57.143
2009-04-27,16.591,60,50,57.143,62.5,55.556,50,54.545,58.333,61.538,57.143
